,Unnamed: 0.1,Unnamed: 0,artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,git_url,project_owner,project_name,api_url,mandatory_language,pom_exist
2,11,247085,com.thinkaurelius.titan:titan-jre6,com.thinkaurelius.titan:titan-jre6:0.4.4,0.4.4,1398173763000,0,3,1,git@github.com:thinkaurelius/titan.git,thinkaurelius,titan,https://api.github.com/repos/thinkaurelius/titan/languages,Java,True
3,12,341915,com.pugwoo:hessoa,com.pugwoo:hessoa:0.5.3,0.5.3,1532677885000,0,5,3,git@github.com:pugwoo/hessoa.git,pugwoo,hessoa,https://api.github.com/repos/pugwoo/hessoa/languages,Java,True
4,18,238366,org.terrakube.terraform:terraform-spring-boot-autoconfigure,org.terrakube.terraform:terraform-spring-boot-autoconfigure:0.15.0,0.15.0,1715983314000,1,5,4,http://github.com/AzBuilder/terraform-spring-boot/tree/master,AzBuilder,terraform-spring-boot,https://api.github.com/repos/AzBuilder/terraform-spring-boot/languages,Java,True
5,22,355715,eu.socialsensor:socialsensor-query-builder,eu.socialsensor:socialsensor-query-builder:0.2,0.2,1415623330000,0,7,7,git@github.com:socialsensor/socialsensor-query-builder.git,socialsensor,socialsensor-query-builder,https://api.github.com/repos/socialsensor/socialsensor-query-builder/languages,Java,True
7,27,67915,com.jeongen.cosmos:sdk,com.jeongen.cosmos:sdk:0.0.5,0.0.5,1649859140000,0,13,12,https://github.com/cloverzrg/cosmos-sdk-java.git,cloverzrg,cosmos-sdk-java,https://api.github.com/repos/cloverzrg/cosmos-sdk-java/languages,Java,True
8,30,459621,org.eclipse.platform:org.eclipse.e4.ui.dialogs,org.eclipse.platform:org.eclipse.e4.ui.dialogs:1.5.0,1.5.0,1717776803000,5,2,2,https://github.com/eclipse-platform/eclipse.platform.ui,eclipse-platform,eclipse.platform.ui,https://api.github.com/repos/eclipse-platform/eclipse.platform.ui/languages,Java,True
9,34,172241,org.liquibase.ext:liquibase-cassandra,org.liquibase.ext:liquibase-cassandra:4.29.1,4.29.1,1722522345000,0,10,2,https://github.com/liquibase/liquibase-cassandra.git,liquibase,liquibase-cassandra,https://api.github.com/repos/liquibase/liquibase-cassandra/languages,Java,True
11,44,598766,nl.axians:axians-opentelemetry-spring-boot-starter,nl.axians:axians-opentelemetry-spring-boot-starter:1.0.0,1.0.0,1710585105000,0,13,9,https://github.com/axians-oss/spring-boot-opentelemetry-starter,axians-oss,spring-boot-opentelemetry-starter,https://api.github.com/repos/axians-oss/spring-boot-opentelemetry-starter/languages,Java,True
12,50,233691,io.github.zqrferrari:logi-dsl-prase,io.github.zqrferrari:logi-dsl-prase:1.0.12,1.0.12,1660792528000,0,9,7,https://github.com/didi/LogiCommon.git,didi,LogiCommon,https://api.github.com/repos/didi/LogiCommon/languages,Java,True
15,56,208744,io.github.pwszpl.maven:replace-with-flattened-plugin,io.github.pwszpl.maven:replace-with-flattened-plugin:1.0,1.0,1661272677000,0,3,1,http://github.com/pwszpl/maven-replace-with-flattened-plugin/tree/master,pwszpl,maven-replace-with-flattened-plugin,https://api.github.com/repos/pwszpl/maven-replace-with-flattened-plugin/languages,Java,True
