"",artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,provided_dependency,dependency,num_use_import,num_unused_import,num_import_but_unused,num_use_import_in_file,num_unused_import_in_file,avg_use_import_in_each_file,avg_unused_import_in_each_file,num_files
61,com.google.cloud:google-cloud-bigquerystorage,com.google.cloud:google-cloud-bigquerystorage:3.9.0,3.9.0,1724771424000,1,56,48,0,"[""io.grpc:grpc-googleapis:1.66.0:runtime"",""commons-codec:commons-codec:1.17.1:compile"",""com.google.api.grpc:grpc-google-cloud-bigquerystorage-v1:3.9.0:compile"",""io.grpc:grpc-api:1.66.0:compile"",""org.apache.httpcomponents:httpcore:4.4.16:compile"",""com.google.errorprone:error_prone_annotations:2.30.0:compile"",""com.google.api.grpc:grpc-google-cloud-bigquerystorage-v1beta2:0.181.0:compile"",""io.grpc:grpc-util:1.66.0:compile"",""com.google.android:annotations:4.1.1.4:runtime"",""com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta1:0.181.0:compile"",""org.codehaus.mojo:animal-sniffer-annotations:1.24:runtime"",""com.google.j2objc:j2objc-annotations:3.0.0:compile"",""com.google.http-client:google-http-client:1.44.2:compile"",""com.google.auto.value:auto-value-annotations:1.11.0:compile"",""com.google.api.grpc:proto-google-common-protos:2.43.0:compile"",""com.google.api:api-common:2.35.0:compile"",""io.perfmark:perfmark-api:0.27.0:runtime"",""com.google.api.grpc:proto-google-cloud-bigquerystorage-v1alpha:3.9.0:compile"",""io.grpc:grpc-context:1.66.0:compile"",""io.grpc:grpc-core:1.66.0:compile"",""com.google.code.gson:gson:2.11.0:compile"",""io.grpc:grpc-protobuf-lite:1.66.0:runtime"",""io.grpc:grpc-protobuf:1.66.0:compile"",""com.google.api:gax:2.52.0:compile"",""com.google.api.grpc:proto-google-cloud-bigquerystorage-v1:3.9.0:compile"",""com.google.auth:google-auth-library-oauth2-http:1.24.1:compile"",""com.google.api:gax-grpc:2.52.0:compile"",""javax.annotation:javax.annotation-api:1.3.2:compile"",""io.grpc:grpc-alts:1.66.0:compile"",""com.google.protobuf:protobuf-java:3.25.4:compile"",""com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava:compile"",""org.conscrypt:conscrypt-openjdk-uber:2.5.2:compile"",""org.checkerframework:checker-qual:3.46.0:compile"",""io.grpc:grpc-auth:1.66.0:compile"",""org.threeten:threetenbp:1.6.9:compile"",""org.json:json:20240303:compile"",""com.google.auth:google-auth-library-credentials:1.24.1:compile"",""com.google.auto.value:auto-value:1.11.0:compile"",""io.opentelemetry:opentelemetry-context:1.41.0:compile"",""com.google.api.grpc:proto-google-cloud-bigquerystorage-v1beta2:0.181.0:compile"",""com.google.cloud:google-cloud-core:2.42.0:runtime"",""com.google.guava:failureaccess:1.0.2:compile"",""com.google.api.grpc:proto-google-iam-v1:1.38.0:runtime"",""io.opentelemetry:opentelemetry-api:1.41.0:compile"",""io.grpc:grpc-netty-shaded:1.66.0:compile"",""io.grpc:grpc-stub:1.66.0:compile"",""com.google.code.findbugs:jsr305:3.0.2:compile"",""io.opencensus:opencensus-api:0.31.1:compile"",""com.google.guava:guava:33.2.1-jre:compile"",""io.opencensus:opencensus-contrib-http-util:0.31.1:compile"",""com.google.protobuf:protobuf-java-util:3.25.4:runtime"",""com.google.http-client:google-http-client-gson:1.44.2:compile"",""io.grpc:grpc-grpclb:1.66.0:compile"",""com.google.api.grpc:grpc-google-cloud-bigquerystorage-v1beta1:0.181.0:compile"",""org.apache.httpcomponents:httpclient:4.5.14:compile"",""io.grpc:grpc-inprocess:1.66.0:compile""]",23,25,0,1483,0,15.776596,0.000000,94
44,com.lithium.flow:flow,com.lithium.flow:flow:0.7.48,0.7.48,1695840092000,0,45,43,0,"[""com.amazonaws:aws-java-sdk-ssm:1.12.558:compile"",""com.squareup.retrofit2:retrofit:2.9.0:compile"",""commons-io:commons-io:2.13.0:compile"",""com.hierynomus:sshj:0.35.0:compile"",""org.apache.commons:commons-csv:1.10.0:compile"",""org.easymock:easymock:5.2.0:test"",""com.jcraft:jsch:0.1.55:compile"",""com.ning:compress-lzf:1.1.2:compile"",""com.squareup.pagerduty:pagerduty-incidents:2.0.0:compile"",""redis.clients:jedis:5.0.1:compile"",""io.netty:netty-codec:4.1.98.Final:compile"",""org.elasticsearch.client:elasticsearch-rest-high-level-client:7.17.13:compile"",""com.goebl:david-webb:1.3.0:compile"",""org.elasticsearch.client:transport:7.17.13:compile"",""org.yaml:snakeyaml:2.2:compile"",""io.netty:netty-codec-http:4.1.98.Final:compile"",""io.netty:netty-codec-http2:4.1.98.Final:compile"",""org.eclipse.jetty.websocket:websocket-server:9.4.52.v20230823:compile"",""it.sauronsoftware.cron4j:cron4j:2.2.5:compile"",""org.tukaani:xz:1.9:compile"",""org.xerial.snappy:snappy-java:1.1.10.5:compile"",""org.anarres.lzo:lzo-hadoop:1.0.6:compile"",""com.squareup.okhttp3:okhttp:4.11.0:compile"",""net.jpountz.lz4:lz4:1.3:compile"",""com.jcraft:jzlib:1.1.3:compile"",""com.amazonaws:aws-java-sdk-s3:1.12.558:compile"",""org.apache.tomcat:tomcat-jdbc:10.1.13:compile"",""com.healthmarketscience.rmiio:rmiio:2.1.2:compile"",""ch.qos.reload4j:reload4j:1.2.25:compile"",""org.apache.hadoop:hadoop-hdfs-client:3.3.6:compile"",""org.apache.hadoop:hadoop-common:3.3.6:compile"",""org.eclipse.jetty:jetty-server:9.4.52.v20230823:compile"",""org.apache.commons:commons-compress:1.24.0:compile"",""commons-codec:commons-codec:1.16.0:compile"",""org.eclipse.jetty:jetty-servlet:9.4.52.v20230823:compile"",""com.amazonaws:aws-java-sdk-sts:1.12.558:compile"",""org.tmatesoft.svnkit:svnkit:1.10.11:compile"",""org.apache.commons:commons-pool2:2.11.1:compile"",""com.fasterxml.jackson.core:jackson-databind:2.15.2:compile"",""junit:junit:4.13.2:test"",""com.google.code.findbugs:jsr305:3.0.2:compile"",""org.slf4j:slf4j-api:2.0.9:compile"",""org.apache.commons:commons-lang3:3.13.0:compile"",""org.picocontainer:picocontainer:2.15:compile"",""com.google.guava:guava:32.1.2-jre:compile""]",31,12,0,3360,4,12.086331,0.014388,278
59,com.microsoft.azure:azure-functions-maven-plugin,com.microsoft.azure:azure-functions-maven-plugin:1.36.0,1.36.0,1719748437000,0,24,18,2,"[""org.springframework:spring-test:5.3.20:test"",""com.fasterxml.jackson.dataformat:jackson-dataformat-properties:2.17.0:compile"",""org.reflections:reflections:0.10.2:compile"",""org.apache.maven.plugin-tools:maven-plugin-annotations:3.5.2:provided"",""org.mockito:mockito-core:3.10.0:test"",""com.microsoft.azure:azure-toolkit-applicationinsights-lib:0.46.0:compile"",""org.codehaus.plexus:plexus-utils:3.4.2:compile"",""org.jacoco:org.jacoco.agent:0.8.8:compile"",""org.apache.maven.plugin-testing:maven-plugin-testing-harness:3.3.0:test"",""com.microsoft.azure:azure-toolkit-auth-lib:0.46.0:compile"",""com.microsoft.azure:azure-maven-plugin-lib:1.39.0:compile"",""org.apache.maven:maven-core:3.8.1:compile"",""junit:junit:4.13.2:test"",""org.apache.maven:maven-compat:3.8.1:compile"",""com.github.zafarkhaja:java-semver:0.9.0:compile"",""com.microsoft.azure:azure-appservice-maven-plugin-lib:1.39.0:compile"",""org.apache.maven:maven-settings:3.8.1:compile"",""org.apache.maven:maven-model:3.8.1:compile"",""io.projectreactor.netty:reactor-netty:1.1.13:compile"",""org.apache.maven:maven-plugin-api:3.8.1:compile"",""com.microsoft.azure:azure-toolkit-appservice-lib:0.46.0:compile"",""com.azure:azure-core-http-netty:1.14.1:compile"",""org.projectlombok:lombok:1.18.24:provided"",""org.apache.maven.plugins:maven-shade-plugin:3.4.1:compile""]",11,9,0,213,0,30.428571,0.000000,7
77,com.aoindustries:aoserv-daemon-book,com.aoindustries:aoserv-daemon-book:1.91.10,1.91.10,1693186877000,0,7,6,0,"[""com.semanticcms:semanticcms-section-taglib:1.9.1:compile"",""com.semanticcms:semanticcms-changelog-taglib:1.6.0:compile"",""org.apache.taglibs:taglibs-standard-spec:1.2.5:compile"",""org.apache.taglibs:taglibs-standard-impl:1.2.5:runtime"",""com.semanticcms:semanticcms-core-taglib:1.15.2:compile"",""com.aoapps:ao-taglib:7.2.2:compile"",""com.aoapps:ao-badges:1.10.1:compile""]",0,6,0,0,0,0.000000,0.000000,1
16,io.javaoperatorsdk:operator-framework-spring-boot-starter,io.javaoperatorsdk:operator-framework-spring-boot-starter:5.5.0,5.5.0,1716922553000,2,13,7,0,"[""io.javaoperatorsdk:jenvtest:0.9.7:test"",""io.javaoperatorsdk:operator-framework:4.9.1:compile"",""org.junit.jupiter:junit-jupiter-engine:5.10.2:test"",""io.fabric8:openshift-client:6.12.1:compile"",""org.springframework.boot:spring-boot-starter-test:3.3.0:test"",""org.junit.jupiter:junit-jupiter-api:5.10.2:test"",""org.springframework.boot:spring-boot-autoconfigure:3.3.0:compile"",""io.javaoperatorsdk:jenvtest-fabric8-client-support:0.9.7:test"",""org.junit.platform:junit-platform-commons:1.10.2:test"",""org.mockito:mockito-core:5.11.0:compile"",""org.springframework.boot:spring-boot-actuator-autoconfigure:3.3.0:compile"",""org.springframework.boot:spring-boot-configuration-processor:3.3.0:compile"",""org.springframework.boot:spring-boot-autoconfigure-processor:3.3.0:compile""]",1,6,0,74,0,7.400000,0.000000,10
74,org.springframework.data:spring-data-couchbase,org.springframework.data:spring-data-couchbase:5.3.3,5.3.3,1723801584000,2,37,12,3,"[""org.glassfish:jakarta.el:4.0.0:provided"",""org.springframework:spring-test:6.1.12:test"",""org.testcontainers:testcontainers:1.19.8:test"",""org.assertj:assertj-core:3.25.3:test"",""joda-time:joda-time:2.10.13:compile"",""jakarta.validation:jakarta.validation-api:3.0.2:compile"",""org.junit.vintage:junit-vintage-engine:5.10.3:test"",""org.mockito:mockito-junit-jupiter:5.12.0:test"",""org.springframework:spring-context-support:6.1.12:compile"",""org.awaitility:awaitility:4.0.3:test"",""org.slf4j:slf4j-api:2.0.2:compile"",""ch.qos.logback:logback-classic:1.4.13:test"",""jakarta.el:jakarta.el-api:4.0.0:provided"",""org.junit.jupiter:junit-jupiter:5.10.3:test"",""org.jetbrains.kotlin:kotlin-test:1.9.25:test"",""org.mockito:mockito-core:5.12.0:test"",""io.projectreactor:reactor-test:3.6.9:test"",""org.apache.httpcomponents:httpclient:4.5.13:test"",""com.couchbase.client:couchbase-encryption:3.1.0:test"",""org.hibernate.validator:hibernate-validator:7.0.1.Final:test"",""com.couchbase.mock:CouchbaseMock:1.5.25:test"",""org.jetbrains.kotlin:kotlin-reflect:1.9.25:compile"",""org.jetbrains.kotlin:kotlin-stdlib:1.9.25:compile"",""com.squareup.okhttp3:okhttp-tls:4.8.1:test"",""com.squareup.okhttp3:okhttp:4.8.1:test"",""jakarta.enterprise:jakarta.enterprise.cdi-api:4.0.1:provided"",""org.apache.openwebbeans:openwebbeans-se:4.0.2:test"",""javax.interceptor:javax.interceptor-api:1.2.1:test"",""org.apache.geronimo.specs:geronimo-jcdi_2.0_spec:1.0.1:test"",""com.couchbase.client:java-client:3.6.0:compile"",""com.fasterxml.jackson.datatype:jackson-datatype-joda:2.13.4:test"",""com.fasterxml.jackson.core:jackson-databind:2.17.2:compile"",""javax.inject:javax.inject:1:test"",""org.springframework:spring-tx:6.1.12:compile"",""org.springframework.data:spring-data-commons:3.3.3:compile"",""org.springframework:spring-web:6.1.12:compile"",""com.querydsl:querydsl-apt:5.1.0:compile""]",15,5,0,2726,59,8.599369,0.186120,317
37,com.chaschev:installation-maven-plugin,com.chaschev:installation-maven-plugin:1.4,1.4,1387667447000,0,17,16,0,"[""org.apache.maven:maven-aether-provider:3.1.1:compile"",""org.apache.commons:commons-lang3:3.1:compile"",""org.apache.maven.plugin-tools:maven-plugin-annotations:3.2:compile"",""org.codehaus.plexus:plexus-utils:2.1:compile"",""org.codehaus.plexus:plexus-container-default:1.5.5:compile"",""org.eclipse.aether:aether-spi:0.9.0.M2:compile"",""com.chaschev:chutils:1.1:compile"",""org.eclipse.aether:aether-util:0.9.0.M2:compile"",""ch.qos.logback:logback-classic:1.0.12:compile"",""junit:junit:4.11:test"",""org.apache.maven:maven-artifact:2.0.9:compile"",""com.google.guava:guava:15.0:compile"",""org.eclipse.aether:aether-impl:0.9.0.M2:compile"",""org.apache.maven:maven-core:3.1.1:compile"",""org.eclipse.aether:aether-api:0.9.0.M2:compile"",""org.apache.maven:maven-model:3.1.1:compile"",""org.apache.maven:maven-plugin-api:3.1.1:compile""]",11,5,0,124,0,11.272727,0.000000,11
17,io.github.yanlizhe:sql-formater,io.github.yanlizhe:sql-formater:1.9.0.RELEASE,1.9.0.RELEASE,1604304685000,0,11,10,0,"[""org.springframework:spring-aop:4.3.9.RELEASE:compile"",""org.springframework:spring-context:4.3.9.RELEASE:compile"",""org.springframework:spring-beans:4.3.9.RELEASE:compile"",""org.springframework:spring-tx:4.3.9.RELEASE:compile"",""org.apache.logging.log4j:log4j-core:2.11.1:compile"",""org.springframework:spring-expression:4.3.9.RELEASE:compile"",""commons-logging:commons-logging:1.2:compile"",""org.springframework:spring-jdbc:4.3.9.RELEASE:compile"",""org.springframework:spring-core:4.3.9.RELEASE:compile"",""org.apache.logging.log4j:log4j-api:2.11.1:compile"",""junit:junit:3.8.1:test""]",5,5,0,661,0,3.934524,0.000000,168
66,com.github.malkomich:vertx-skeleton,com.github.malkomich:vertx-skeleton:1.0.1,1.0.1,1547415124000,0,10,10,0,"[""io.vertx:vertx-service-proxy:3.5.4:compile"",""commons-logging:commons-logging:1.1.1:compile"",""ch.qos.logback:logback-classic:1.2.3:compile"",""com.google.inject:guice:4.1.0:compile"",""io.vertx:vertx-config:3.5.4:compile"",""io.vertx:vertx-web:3.5.4:compile"",""io.vertx:vertx-codegen:3.5.4:compile"",""io.vertx:vertx-web-client:3.5.4:compile"",""io.vertx:vertx-health-check:3.5.4:compile"",""io.vertx:vertx-core:3.5.4:compile""]",6,5,0,87,0,7.250000,0.000000,12
90,cn.ponfee:scheduler-registry-nacos,cn.ponfee:scheduler-registry-nacos:1.11,1.11,1682177159000,0,15,3,5,"[""org.springframework.boot:spring-boot-configuration-processor:2.7.11:provided"",""org.mapstruct:mapstruct-processor:1.5.4.Final:provided"",""org.springframework.boot:spring-boot-starter-test:2.7.11:test"",""org.junit.platform:junit-platform-runner:1.8.2:test"",""com.alibaba.nacos:nacos-client:2.2.2:compile"",""org.hamcrest:hamcrest:2.2:test"",""org.skyscreamer:jsonassert:1.5.1:test"",""org.projectlombok:lombok:1.18.26:provided"",""org.assertj:assertj-core:3.22.0:test"",""org.junit.platform:junit-platform-suite:1.8.2:test"",""org.hibernate.validator:hibernate-validator-annotation-processor:6.2.5.Final:provided"",""org.springframework:spring-context-indexer:5.3.27:provided"",""org.springframework.boot:spring-boot-starter-logging:2.7.11:compile"",""org.testcontainers:testcontainers:1.18.0:test"",""cn.ponfee:scheduler-registry-api:1.11:compile""]",3,5,0,46,0,9.200000,0.000000,5
