artifact,introduce_unused_dependency_sum,introduce_unused_dependency_but_import_sum,average_unused_dependency,average_use_transitive_dependency,version_count,use_transitive_dependency_sum,use_dependency_sum
am.ik.yavi:yavi,0,0,1.4754098360655739,0.4918032786885246,62,30,46
at.makubi.maven.plugin:avrohugger-maven-plugin,1,0,2.3333333333333335,0.0,4,0,8
at.yawk.numaec:numa-eclipse-collections,0,0,0.0,0.0,2,0,1
br.com.progolden:dne-utils,0,0,0.0,0.0,4,0,9
br.com.progolden:vraptor-boilerplate-hibernate,0,0,0.0,7.0,4,21,12
ca.exprofesso:guava-jcache,0,0,0.0,0.0,5,0,8
ca.mestevens.ios:xcode-project-parser,0,0,0.0,0.0,3,0,4
ch.randelshofer:org.jhotdraw8.collection,0,0,0.0,0.0,3,0,4
ch.rasc:wampspring,0,0,0.0,0.0,5,0,22
cloud.pianola:cdk-fluent-assertions,0,0,1.0,0.0,2,0,4
com.abstratt:cloudfier-maven-plugin,0,0,0.0,0.0,6,0,30
com.autognizant:ac-core,0,0,0.0,22.0,2,22,9
com.bq.oss.lib:cli,0,0,5.0,0.0,3,0,4
com.carrotgarden.maven:carrot-maven-imgscalr-plugin,0,0,1.0,0.0,2,0,2
com.charlyghislain.authenticator:authenticator-application-api,0,0,1.0,0.0,6,0,15
com.chaschev:chutils,2,0,1.3333333333333333,0.0,4,0,19
com.cogpunk:cogpunk-mathhammer,0,0,0.0,0.0,5,0,8
com.contrastsecurity:cassandra-migration,0,0,0.0,0.0,5,0,12
com.datadoghq:java-dogstatsd-client,0,0,0.0,0.0,30,0,24
com.geetask:chunked-uploader,0,0,2.0,0.0,2,0,3
com.github.ajurasz:embedded-es-annotation,0,0,0.0,0.0,2,0,4
com.github.alaisi.pgasync:postgres-async-driver,1,0,0.14285714285714285,0.0,8,0,13
com.github.bartlomiej-gora:RPNLibrary,3,0,0.6,0.0,6,0,3
com.github.hazendaz.maven:smartsprites-maven-plugin,5,0,8.4,0.0,6,0,15
com.github.jiconfont:jiconfont-typicons,0,0,0.0,0.0,2,0,1
com.github.kristianhelgesen.aramis:aramis,0,0,0.0,0.0,3,0,8
com.github.livesense:org.liveSense.service.apacheds,0,0,2.0,17.0,3,34,18
com.github.nikita-volkov.java:djdbc-functional-java,0,0,0.0,0.0,4,0,6
com.github.robtimus:obfuscation-json,0,0,0.4,0.0,6,0,18
com.github.sebhoss:fiscal-year,0,0,0.5,0.0,5,0,9
com.github.tcl-ec:tclsms,0,0,0.0,1.0,2,1,3
com.github.vicenthy.filehelpers4j:FileHelpers4J,0,0,0.0,0.0,2,0,1
com.integralblue:httpresponsecache,0,0,0.0,0.0,3,0,2
com.lahsivjar:gcp-storage-wagon,0,0,1.75,0.25,5,1,15
com.lyra:server-rest-sdk,1,0,0.6,0.0,6,0,10
com.mobius-software.mqttsn:mqtt-sn-parser,0,0,1.0,0.0,6,0,5
com.nectify:hornet-connector-java,0,0,0.0,0.0,3,0,6
com.omertron:themoviedbapi,1,0,0.36363636363636365,0.0,12,0,57
com.pastdev:jsch-nio,0,0,0.0,0.0,21,0,46
com.power4j.fist:fist-support-security,0,0,2.0,0.0,15,0,186
com.power4j:idempotent-guard-spring-boot-starter,0,0,1.0,0.0,2,0,7
com.qdesrame:openapi-diff,0,0,1.0,1.0,3,2,14
com.s24:redjob,1,0,1.7058823529411764,1.392156862745098,52,71,410
com.sachinhandiekar:jInstagram,3,0,0.42857142857142855,0.0,22,0,80
com.securionpay:securionpay-java,0,0,0.0,0.0,10,0,25
com.sqlancer:sqlancer,0,0,5.0,0.0,4,0,14
com.squareup.pagerduty:pagerduty-incidents,0,0,0.0,0.0,6,0,10
com.stenway:wsv,0,0,0.0,0.0,2,0,1
com.subshell.maven:resolver-maven-plugin,0,0,2.0,0.0,2,0,4
com.theoryinpractise:halbuilder-jaxrs,0,0,0.0,0.0,3,0,7
com.tosan.tools:tosan-mask-spring-boot-starter,0,0,0.9285714285714286,0.0,15,0,43
com.ttulka.spring.boot.configstore:configuration-properties-store-jdbc-spring-boot-starter,0,0,0.0,13.722222222222221,19,247,54
com.vaynberg.wicket.select25:wicket-select25,0,0,0.0,0.0,7,0,12
com.webotech:state-machine,0,0,0.0,0.0,8,0,14
de.athalis.coreasm:coreasm-config,0,0,0.0,0.0,3,0,8
de.denktmit.testsupport.spring:spring-test-initializers,0,0,1.0,1.5,5,6,11
