,artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,git_url,project_owner,project_name,api_url,mandatory_language,pom_exist,versions,tags
0,org.terrakube.terraform:terraform-spring-boot-autoconfigure,org.terrakube.terraform:terraform-spring-boot-autoconfigure:0.15.0,0.15.0,1715983314000,1,5,4,http://github.com/AzBuilder/terraform-spring-boot/tree/master,AzBuilder,terraform-spring-boot,https://api.github.com/repos/AzBuilder/terraform-spring-boot/languages,Java,True,"[{'name': '0.14.0', 'ts': 1713308173000}, {'name': '0.15.0', 'ts': 1715983314000}, {'name': '0.14.0-beta.1', 'ts': 1709591056000}, {'name': '0.14.0-beta.2', 'ts': 1711144190000}, {'name': '0.13.0', 'ts': 1709313978000}, {'name': '0.11.1', 'ts': 1702047772000}, {'name': '0.11.2', 'ts': 1703171664000}, {'name': '0.11.0', 'ts': 1700838837000}, {'name': '0.12.0', 'ts': 1705440800000}, {'name': '0.9.1', 'ts': 1678894528000}, {'name': '0.9.0', 'ts': 1678828222000}, {'name': '0.8.0', 'ts': 1678121031000}, {'name': '0.7.1', 'ts': 1676302736000}, {'name': '0.7.0', 'ts': 1674257192000}, {'name': '0.6.4', 'ts': 1654907619000}, {'name': '0.6.5', 'ts': 1667345972000}, {'name': '0.10.1', 'ts': 1685740916000}, {'name': '0.10.0', 'ts': 1685405656000}]","[{'name': '0.0.1', 'date': '2021-04-30T01:23:07Z'}, {'name': '0.0.2', 'date': '2021-05-01T17:21:56Z'}, {'name': '0.0.3', 'date': '2021-05-07T02:14:44Z'}, {'name': '0.0.4', 'date': '2021-05-13T22:49:17Z'}, {'name': '0.0.5', 'date': '2021-05-14T22:42:07Z'}, {'name': '0.0.6', 'date': '2021-05-15T17:56:19Z'}, {'name': '0.1.0', 'date': '2021-05-22T01:15:11Z'}, {'name': '0.1.1', 'date': '2021-05-22T02:18:48Z'}, {'name': '0.2.0', 'date': '2021-05-28T21:33:16Z'}, {'name': '0.2.1', 'date': '2021-05-28T23:02:34Z'}, {'name': '0.3.0', 'date': '2021-07-03T16:22:04Z'}, {'name': '0.4.0', 'date': '2021-07-14T23:24:16Z'}, {'name': '0.5.0-beta.1', 'date': '2021-10-15T20:30:41Z'}, {'name': '0.5.0-beta.2', 'date': '2021-10-19T16:44:17Z'}, {'name': '0.5.0-beta.3', 'date': '2021-10-22T16:03:02Z'}, {'name': '0.5.0', 'date': '2021-12-08T22:08:51Z'}, {'name': '0.5.1', 'date': '2021-12-23T16:53:55Z'}, {'name': '0.6.0', 'date': '2022-03-26T01:26:34Z'}, {'name': '0.6.1', 'date': '2022-06-10T17:40:30Z'}, {'name': '0.6.2', 'date': '2022-06-10T18:16:22Z'}, {'name': '0.6.3', 'date': '2022-06-10T18:36:02Z'}, {'name': '0.6.4', 'date': '2022-06-11T00:29:14Z'}, {'name': '0.6.5', 'date': '2022-11-01T23:34:49Z'}, {'name': '0.7.0', 'date': '2023-01-20T23:22:13Z'}, {'name': '0.7.1', 'date': '2023-02-13T15:34:41Z'}, {'name': '0.8.0', 'date': '2023-03-06T16:39:44Z'}, {'name': '0.9.0', 'date': '2023-03-14T21:06:19Z'}, {'name': '0.9.1', 'date': '2023-03-15T15:31:31Z'}, {'name': '0.10.0', 'date': '2023-05-30T00:10:21Z'}, {'name': '0.10.1', 'date': '2023-06-02T21:17:36Z'}, {'name': '0.11.0', 'date': '2023-11-24T15:09:24Z'}, {'name': '0.11.1', 'date': '2023-12-08T14:58:31Z'}, {'name': '0.11.2', 'date': '2023-12-21T15:10:49Z'}, {'name': '0.12.0', 'date': '2024-01-16T21:29:42Z'}, {'name': '0.13.0', 'date': '2024-03-01T17:21:39Z'}, {'name': '0.14.0-beta.1', 'date': '2024-03-04T21:47:37Z'}, {'name': '0.14.0', 'date': '2024-03-22T21:46:52Z'}, {'name': '0.14.0-beta.2', 'date': '2024-03-22T21:46:52Z'}, {'name': '0.15.0', 'date': '2024-05-17T21:55:59Z'}, {'name': '0.16.0', 'date': '2024-10-15T20:36:55Z'}, {'name': '0.16.1', 'date': '2024-10-30T17:09:50Z'}]"
1,nl.axians:axians-opentelemetry-spring-boot-starter,nl.axians:axians-opentelemetry-spring-boot-starter:1.0.0,1.0.0,1710585105000,0,13,9,https://github.com/axians-oss/spring-boot-opentelemetry-starter,axians-oss,spring-boot-opentelemetry-starter,https://api.github.com/repos/axians-oss/spring-boot-opentelemetry-starter/languages,Java,True,"[{'name': '1.0.0', 'ts': 1710585105000}]","[{'name': '1.0.0', 'date': '2024-03-16T10:31:28Z'}, {'name': '1.0.1', 'date': '2024-03-16T19:23:36Z'}]"
2,com.geetask:chunked-uploader,com.geetask:chunked-uploader:1.0.2,1.0.2,1531720103000,0,8,5,git@github.com:dungang/chunked-uploader.git,dungang,chunked-uploader,https://api.github.com/repos/dungang/chunked-uploader/languages,Java,True,"[{'name': '1.0.1', 'ts': 1531522595000}, {'name': '1.0.2', 'ts': 1531720103000}]","[{'name': '0.0.1', 'date': '2018-07-12T03:21:13Z'}, {'name': '1.0.1', 'date': '2018-07-13T23:05:06Z'}, {'name': '1.0.2', 'date': '2018-07-16T05:46:15Z'}]"
3,net.distilledcode:filevault-oak-reindex-hook,net.distilledcode:filevault-oak-reindex-hook:1.0.2,1.0.2,1440405561000,0,9,3,https://github.com/code-distillery/filevault-oak-reindex-hook,code-distillery,filevault-oak-reindex-hook,https://api.github.com/repos/code-distillery/filevault-oak-reindex-hook/languages,Java,True,"[{'name': '1.0.0', 'ts': 1437046400000}, {'name': '1.0.2', 'ts': 1440405561000}]","[{'name': 'v1.0.0', 'date': '2015-07-16T11:32:19Z'}, {'name': 'v1.0.2', 'date': '2015-08-24T08:38:01Z'}]"
4,org.java-websocket:Java-WebSocket,org.java-websocket:Java-WebSocket:1.5.7,1.5.7,1720473728000,20,4,1,https://github.com/TooTallNate/Java-WebSocket,TooTallNate,Java-WebSocket,https://api.github.com/repos/TooTallNate/Java-WebSocket/languages,Java,True,"[{'name': '1.4.0', 'ts': 1550608811000}, {'name': '1.5.7', 'ts': 1720473728000}, {'name': '1.5.6', 'ts': 1707254879000}, {'name': '1.5.5', 'ts': 1702934888000}, {'name': '1.4.1', 'ts': 1584049666000}, {'name': '1.3.6', 'ts': 1510251052000}, {'name': '1.3.5', 'ts': 1507915748000}, {'name': '1.3.4', 'ts': 1496417831000}, {'name': '1.3.7', 'ts': 1513011834000}, {'name': '1.3.9', 'ts': 1533495436000}, {'name': '1.3.0', 'ts': 1366761018000}, {'name': '1.3.8', 'ts': 1520276279000}, {'name': '1.5.1', 'ts': 1589141817000}, {'name': '1.5.2', 'ts': 1617635749000}, {'name': '1.5.4', 'ts': 1689884013000}, {'name': '1.5.3', 'ts': 1649526565000}, {'name': '1.5.0', 'ts': 1588701545000}]","[{'name': 'v0.1', 'date': '2010-07-24T20:59:37Z'}, {'name': 'v0.2', 'date': '2010-07-31T19:21:50Z'}, {'name': 'v0.3', 'date': '2010-08-25T16:34:04Z'}, {'name': 'v0.4', 'date': '2010-10-03T20:25:28Z'}, {'name': 'v0.5', 'date': '2010-10-16T19:19:44Z'}, {'name': 'v0.6', 'date': '2011-06-29T19:30:57Z'}, {'name': 'v0.7', 'date': '2011-11-20T21:26:18Z'}, {'name': 'v1.0.0-alpha1', 'date': '2012-03-05T00:36:07Z'}, {'name': 'v1.0.0', 'date': '2012-09-13T22:13:23Z'}, {'name': 'v1.1.0', 'date': '2012-11-01T19:13:25Z'}, {'name': 'v1.2.0', 'date': '2012-12-23T20:54:20Z'}, {'name': 'Java-WebSocket-1.3.0', 'date': '2013-04-23T23:47:15Z'}, {'name': 'Java-WebSocket-1.3.1', 'date': '2017-03-27T07:32:23Z'}, {'name': 'Java-WebSocket-1.3.3', 'date': '2017-04-26T09:06:54Z'}, {'name': 'Java-WebSocket-1.3.4', 'date': '2017-06-06T13:58:38Z'}, {'name': 'Java-WebSocket-1.3.5', 'date': '2017-10-13T17:33:31Z'}, {'name': 'v1.3.6', 'date': '2017-11-09T18:15:09Z'}, {'name': 'v1.3.7', 'date': '2017-12-11T17:09:22Z'}, {'name': 'v1.3.8', 'date': '2018-03-05T19:02:08Z'}, {'name': 'v1.3.3', 'date': '2018-03-05T19:02:08Z'}, {'name': 'v1.3.1', 'date': '2018-03-05T19:02:08Z'}, {'name': 'v1.3.9', 'date': '2018-08-05T17:53:26Z'}, {'name': 'v1.4.0', 'date': '2019-02-19T21:02:00Z'}, {'name': 'v1.4.1', 'date': '2020-03-12T21:14:05Z'}, {'name': 'v1.5.0', 'date': '2020-05-07T05:27:52Z'}, {'name': 'v1.5.1', 'date': '2020-05-10T20:24:16Z'}, {'name': 'v1.5.2', 'date': '2021-04-05T15:43:04Z'}, {'name': 'v1.5.3', 'date': '2022-04-09T18:04:57Z'}, {'name': 'v1.5.4', 'date': '2023-07-20T20:24:05Z'}, {'name': 'v1.5.5', 'date': '2023-12-18T22:16:51Z'}, {'name': 'v1.5.6', 'date': '2024-02-06T21:34:32Z'}, {'name': 'v1.5.7', 'date': '2024-07-08T20:41:39Z'}]"
5,com.github.doobo:openpdf-ivs,com.github.doobo:openpdf-ivs:1.0,1.0,1594174476000,0,1,1,https://github.com/doobo/openpdf-ivs,doobo,openpdf-ivs,https://api.github.com/repos/doobo/openpdf-ivs/languages,Java,True,"[{'name': '1.0', 'ts': 1594174476000}]","[{'name': 'v1.0', 'date': '2020-07-08T02:13:36Z'}]"
6,com.github.robtimus:obfuscation-json,com.github.robtimus:obfuscation-json:1.3,1.3,1696848086000,0,8,3,https://github.com/robtimus/obfuscation-json,robtimus,obfuscation-json,https://api.github.com/repos/robtimus/obfuscation-json/languages,Java,True,"[{'name': '1.3', 'ts': 1696848086000}, {'name': '1.2', 'ts': 1647442689000}, {'name': '1.1', 'ts': 1629550510000}, {'name': '1.0', 'ts': 1588514318000}, {'name': '1.2.1', 'ts': 1671630437000}, {'name': '1.0.1', 'ts': 1602423878000}]","[{'name': '1.0', 'date': '2020-05-03T13:57:44Z'}, {'name': '1.0.1', 'date': '2020-10-11T13:43:55Z'}, {'name': '1.1', 'date': '2021-08-21T12:54:31Z'}, {'name': '1.2', 'date': '2022-03-16T14:56:18Z'}, {'name': '1.2.1', 'date': '2022-12-21T13:44:38Z'}, {'name': '1.3', 'date': '2023-10-09T10:40:50Z'}, {'name': '2.0', 'date': '2024-10-06T13:32:18Z'}]"
7,com.s24:redjob,com.s24:redjob:0.7.0,0.7.0,1550338074000,0,20,10,https://github.com/adsoul/redjob,adsoul,redjob,https://api.github.com/repos/adsoul/redjob/languages,Java,True,"[{'name': '0.2.10', 'ts': 1494951897000}, {'name': '0.5.10', 'ts': 1539615707000}, {'name': '0.2.5', 'ts': 1494320415000}, {'name': '0.2.1', 'ts': 1480410808000}, {'name': '0.2.3', 'ts': 1481035781000}, {'name': '0.2.4', 'ts': 1491501982000}, {'name': '0.2.0', 'ts': 1480024838000}, {'name': '0.2.6', 'ts': 1494330005000}, {'name': '0.2.2', 'ts': 1480427198000}, {'name': '0.2.9', 'ts': 1494603439000}, {'name': '0.2.8', 'ts': 1494336937000}, {'name': '0.2.7', 'ts': 1494336026000}, {'name': '0.3.1', 'ts': 1497271413000}, {'name': '0.3.2', 'ts': 1503661325000}, {'name': '0.3.0', 'ts': 1495195117000}, {'name': '0.3.3', 'ts': 1503920635000}, {'name': '0.0.3', 'ts': 1466495814000}, {'name': '0.0.7', 'ts': 1470736387000}, {'name': '0.0.2', 'ts': 1466495383000}, {'name': '0.0.5', 'ts': 1469631912000}, {'name': '0.0.8', 'ts': 1470833259000}, {'name': '0.0.6', 'ts': 1470670055000}, {'name': '0.0.9', 'ts': 1472218784000}, {'name': '0.1.2', 'ts': 1479405679000}, {'name': '0.1.1', 'ts': 1479139673000}, {'name': '0.1.0', 'ts': 1478617025000}, {'name': '0.6.2', 'ts': 1549543478000}, {'name': '0.6.0', 'ts': 1539616114000}, {'name': '0.6.1', 'ts': 1546814122000}, {'name': '0.7.0', 'ts': 1550338074000}, {'name': '0.4.0', 'ts': 1507147964000}, {'name': '0.4.3', 'ts': 1511215584000}, {'name': '0.4.2', 'ts': 1509962524000}, {'name': '0.4.1', 'ts': 1509896008000}, {'name': '0.4.7', 'ts': 1519426875000}, {'name': '0.4.6', 'ts': 1519425471000}, {'name': '0.4.8', 'ts': 1519427801000}, {'name': '0.4.9', 'ts': 1520864523000}, {'name': '0.4.5', 'ts': 1518770093000}, {'name': '0.5.2', 'ts': 1527800757000}, {'name': '0.5.1', 'ts': 1527603219000}, {'name': '0.5.3', 'ts': 1527847983000}, {'name': '0.5.0', 'ts': 1527514888000}, {'name': '0.5.9', 'ts': 1538896529000}, {'name': '0.5.5', 'ts': 1527926020000}, {'name': '0.5.8', 'ts': 1535387174000}, {'name': '0.5.4', 'ts': 1527891183000}, {'name': '0.5.7', 'ts': 1535383468000}, {'name': '0.5.6', 'ts': 1528205633000}, {'name': '0.0.10', 'ts': 1472219940000}, {'name': '0.2.11', 'ts': 1495035799000}, {'name': '0.2.12', 'ts': 1495093976000}]","[{'name': 'v0.0.2', 'date': '2016-06-20T12:15:29Z'}, {'name': 'v0.0.3', 'date': '2016-06-21T07:55:10Z'}, {'name': 'v0.0.4', 'date': '2016-07-27T14:52:30Z'}, {'name': 'v0.0.5', 'date': '2016-07-27T15:03:42Z'}, {'name': 'v0.0.6', 'date': '2016-08-08T15:26:20Z'}, {'name': 'v0.0.7', 'date': '2016-08-09T09:52:12Z'}, {'name': 'v0.0.8', 'date': '2016-08-10T12:46:49Z'}, {'name': 'v0.0.9', 'date': '2016-08-26T13:28:03Z'}, {'name': 'v0.0.10', 'date': '2016-08-26T13:56:55Z'}, {'name': 'v0.1.0', 'date': '2016-11-08T14:55:04Z'}, {'name': 'v0.1.1', 'date': '2016-11-14T16:01:43Z'}, {'name': 'v0.1.2', 'date': '2016-11-17T18:00:28Z'}, {'name': 'v0.2.0', 'date': '2016-11-24T21:59:37Z'}, {'name': 'v0.2.1', 'date': '2016-11-29T09:12:13Z'}, {'name': 'v0.2.2', 'date': '2016-11-29T13:45:30Z'}, {'name': 'v0.2.3', 'date': '2016-12-06T14:46:54Z'}, {'name': 'v0.2.4', 'date': '2017-04-06T16:45:53Z'}, {'name': 'v0.2.5', 'date': '2017-05-09T08:20:29Z'}, {'name': 'v0.2.6', 'date': '2017-05-09T11:39:10Z'}, {'name': 'v0.2.7', 'date': '2017-05-09T12:12:35Z'}, {'name': 'v0.2.8', 'date': '2017-05-09T13:31:28Z'}, {'name': 'v0.2.9', 'date': '2017-05-12T15:36:18Z'}, {'name': 'v0.2.10', 'date': '2017-05-16T16:22:13Z'}, {'name': 'v0.2.11', 'date': '2017-05-17T15:40:05Z'}, {'name': 'v0.2.12', 'date': '2017-05-18T07:51:15Z'}, {'name': 'v0.2.13', 'date': '2017-05-19T11:53:55Z'}, {'name': 'v0.3.0', 'date': '2017-05-19T11:55:23Z'}, {'name': 'v0.3.1', 'date': '2017-06-12T12:41:07Z'}, {'name': 'v0.3.2', 'date': '2017-08-25T11:33:41Z'}, {'name': 'v0.3.3', 'date': '2017-08-28T11:40:22Z'}, {'name': 'v0.4.0', 'date': '2017-10-04T20:09:32Z'}, {'name': 'v0.4.1', 'date': '2017-11-05T15:31:52Z'}, {'name': 'v0.4.2', 'date': '2017-11-06T09:59:56Z'}, {'name': 'v0.4.3', 'date': '2017-11-20T22:04:13Z'}, {'name': 'v0.4.4', 'date': '2018-02-15T17:18:13Z'}, {'name': 'v0.4.5', 'date': '2018-02-16T08:33:07Z'}, {'name': 'v0.4.6', 'date': '2018-02-23T22:33:45Z'}, {'name': 'v0.4.7', 'date': '2018-02-23T22:59:05Z'}, {'name': 'v0.4.8', 'date': '2018-02-23T23:14:54Z'}, {'name': 'v0.4.9', 'date': '2018-03-12T14:19:59Z'}, {'name': 'v0.4.10', 'date': '2018-05-28T13:35:23Z'}, {'name': 'v0.5.0', 'date': '2018-05-28T13:38:56Z'}, {'name': 'v0.5.1', 'date': '2018-05-29T07:34:21Z'}, {'name': 'v0.5.2', 'date': '2018-05-31T21:03:23Z'}, {'name': 'v0.5.3', 'date': '2018-06-01T10:09:08Z'}, {'name': 'v0.5.4', 'date': '2018-06-01T22:08:12Z'}, {'name': 'v0.5.5', 'date': '2018-06-02T07:49:21Z'}, {'name': 'v0.5.6', 'date': '2018-06-05T08:32:12Z'}, {'name': 'v0.5.7', 'date': '2018-08-27T15:19:54Z'}, {'name': 'v0.5.8', 'date': '2018-08-27T16:16:06Z'}, {'name': 'v0.5.9', 'date': '2018-10-07T07:14:21Z'}, {'name': 'v0.5.10', 'date': '2018-10-15T15:00:30Z'}, {'name': 'v0.6.0', 'date': '2018-10-15T15:07:17Z'}, {'name': 'v0.6.1', 'date': '2019-01-06T22:33:14Z'}, {'name': 'v0.6.2', 'date': '2019-02-07T11:57:23Z'}, {'name': 'v0.7.0', 'date': '2019-02-16T13:30:55Z'}, {'name': 'v0.8.0', 'date': '2019-05-11T18:18:49Z'}]"
8,org.sourcelab:kafka-webview-ui,org.sourcelab:kafka-webview-ui:1.0.0,1.0.0,1515213557000,0,17,14,https://github.com/Crim/kafka-webview,Crim,kafka-webview,https://api.github.com/repos/Crim/kafka-webview/languages,Java,True,"[{'name': '1.0.0', 'ts': 1515213557000}]","[{'name': 'v1.0.0', 'date': '2018-01-06T04:36:33Z'}, {'name': 'v1.0.1', 'date': '2018-01-17T23:50:43Z'}, {'name': 'v1.0.2', 'date': '2018-01-26T15:48:46Z'}, {'name': 'v1.0.3', 'date': '2018-02-11T15:50:48Z'}, {'name': 'v1.0.4', 'date': '2018-06-11T23:38:07Z'}, {'name': 'v1.0.5', 'date': '2018-06-22T00:53:55Z'}, {'name': 'untagged-caddceef96f661df626b', 'date': '2018-06-22T00:53:55Z'}, {'name': 'v2.0.0', 'date': '2018-09-24T02:09:27Z'}, {'name': 'v2.0.1', 'date': '2018-10-02T06:29:28Z'}, {'name': 'v2.1.0', 'date': '2018-12-20T09:21:41Z'}, {'name': 'v2.1.1', 'date': '2019-01-08T02:41:34Z'}, {'name': 'v2.1.2-RC1', 'date': '2019-01-09T05:22:52Z'}, {'name': 'v2.1.2', 'date': '2019-01-15T08:13:58Z'}, {'name': 'v2.1.3', 'date': '2019-01-19T01:47:17Z'}, {'name': 'v2.1.4', 'date': '2019-02-19T09:18:14Z'}, {'name': 'v2.2.0', 'date': '2019-03-20T07:33:22Z'}, {'name': 'v2.3.0', 'date': '2019-06-19T08:07:55Z'}, {'name': 'v2.4.0', 'date': '2019-07-02T08:31:28Z'}, {'name': 'v2.5.0', 'date': '2019-11-18T09:24:35Z'}, {'name': 'v2.5.1', 'date': '2020-05-19T12:01:22Z'}, {'name': 'v2.6.0', 'date': '2020-06-21T00:44:54Z'}, {'name': 'v2.7.0', 'date': '2020-09-25T22:29:41Z'}, {'name': 'v2.8.0', 'date': '2021-12-17T05:26:37Z'}, {'name': 'v2.8.1', 'date': '2021-12-17T06:16:46Z'}, {'name': 'v2.8.2', 'date': '2021-12-19T03:22:05Z'}, {'name': 'v2.9.0', 'date': '2022-04-14T09:24:48Z'}, {'name': 'v2.9.1', 'date': '2022-10-27T21:46:05Z'}]"
9,io.github.hiskrtapps:apocalypse-dao-springjdbc,io.github.hiskrtapps:apocalypse-dao-springjdbc:0.0.2,0.0.2,1588416267000,0,10,6,https://github.com/hiskrtapps/apocalypse-dao-springjdbc,hiskrtapps,apocalypse-dao-springjdbc,https://api.github.com/repos/hiskrtapps/apocalypse-dao-springjdbc/languages,Java,True,"[{'name': '0.0.2', 'ts': 1588416267000}]","[{'name': '0.0.1', 'date': '2020-05-02T10:33:39Z'}, {'name': '0.0.2', 'date': '2020-05-02T10:43:55Z'}]"
