artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,git_url,project_owner,project_name,api_url,mandatory_language,pom_exist,versions
org.terrakube.terraform:terraform-spring-boot-autoconfigure,org.terrakube.terraform:terraform-spring-boot-autoconfigure:0.15.0,0.15.0,1715983314000,1,5,4,http://github.com/AzBuilder/terraform-spring-boot/tree/master,AzBuilder,terraform-spring-boot,https://api.github.com/repos/AzBuilder/terraform-spring-boot/languages,Java,True,"[{'name': '0.14.0', 'ts': 1713308173000}, {'name': '0.15.0', 'ts': 1715983314000}, {'name': '0.14.0-beta.1', 'ts': 1709591056000}, {'name': '0.14.0-beta.2', 'ts': 1711144190000}, {'name': '0.13.0', 'ts': 1709313978000}, {'name': '0.11.1', 'ts': 1702047772000}, {'name': '0.11.2', 'ts': 1703171664000}, {'name': '0.11.0', 'ts': 1700838837000}, {'name': '0.12.0', 'ts': 1705440800000}, {'name': '0.9.1', 'ts': 1678894528000}, {'name': '0.9.0', 'ts': 1678828222000}, {'name': '0.8.0', 'ts': 1678121031000}, {'name': '0.7.1', 'ts': 1676302736000}, {'name': '0.7.0', 'ts': 1674257192000}, {'name': '0.6.4', 'ts': 1654907619000}, {'name': '0.6.5', 'ts': 1667345972000}, {'name': '0.10.1', 'ts': 1685740916000}, {'name': '0.10.0', 'ts': 1685405656000}]"
nl.axians:axians-opentelemetry-spring-boot-starter,nl.axians:axians-opentelemetry-spring-boot-starter:1.0.0,1.0.0,1710585105000,0,13,9,https://github.com/axians-oss/spring-boot-opentelemetry-starter,axians-oss,spring-boot-opentelemetry-starter,https://api.github.com/repos/axians-oss/spring-boot-opentelemetry-starter/languages,Java,True,"[{'name': '1.0.0', 'ts': 1710585105000}]"
com.geetask:chunked-uploader,com.geetask:chunked-uploader:1.0.2,1.0.2,1531720103000,0,8,5,git@github.com:dungang/chunked-uploader.git,dungang,chunked-uploader,https://api.github.com/repos/dungang/chunked-uploader/languages,Java,True,"[{'name': '1.0.1', 'ts': 1531522595000}, {'name': '1.0.2', 'ts': 1531720103000}]"
net.distilledcode:filevault-oak-reindex-hook,net.distilledcode:filevault-oak-reindex-hook:1.0.2,1.0.2,1440405561000,0,9,3,https://github.com/code-distillery/filevault-oak-reindex-hook,code-distillery,filevault-oak-reindex-hook,https://api.github.com/repos/code-distillery/filevault-oak-reindex-hook/languages,Java,True,"[{'name': '1.0.0', 'ts': 1437046400000}, {'name': '1.0.2', 'ts': 1440405561000}]"
org.java-websocket:Java-WebSocket,org.java-websocket:Java-WebSocket:1.5.7,1.5.7,1720473728000,20,4,1,https://github.com/TooTallNate/Java-WebSocket,TooTallNate,Java-WebSocket,https://api.github.com/repos/TooTallNate/Java-WebSocket/languages,Java,True,"[{'name': '1.4.0', 'ts': 1550608811000}, {'name': '1.5.7', 'ts': 1720473728000}, {'name': '1.5.6', 'ts': 1707254879000}, {'name': '1.5.5', 'ts': 1702934888000}, {'name': '1.4.1', 'ts': 1584049666000}, {'name': '1.3.6', 'ts': 1510251052000}, {'name': '1.3.5', 'ts': 1507915748000}, {'name': '1.3.4', 'ts': 1496417831000}, {'name': '1.3.7', 'ts': 1513011834000}, {'name': '1.3.9', 'ts': 1533495436000}, {'name': '1.3.0', 'ts': 1366761018000}, {'name': '1.3.8', 'ts': 1520276279000}, {'name': '1.5.1', 'ts': 1589141817000}, {'name': '1.5.2', 'ts': 1617635749000}, {'name': '1.5.4', 'ts': 1689884013000}, {'name': '1.5.3', 'ts': 1649526565000}, {'name': '1.5.0', 'ts': 1588701545000}]"
com.github.doobo:openpdf-ivs,com.github.doobo:openpdf-ivs:1.0,1.0,1594174476000,0,1,1,https://github.com/doobo/openpdf-ivs,doobo,openpdf-ivs,https://api.github.com/repos/doobo/openpdf-ivs/languages,Java,True,"[{'name': '1.0', 'ts': 1594174476000}]"
com.github.robtimus:obfuscation-json,com.github.robtimus:obfuscation-json:1.3,1.3,1696848086000,0,8,3,https://github.com/robtimus/obfuscation-json,robtimus,obfuscation-json,https://api.github.com/repos/robtimus/obfuscation-json/languages,Java,True,"[{'name': '1.3', 'ts': 1696848086000}, {'name': '1.2', 'ts': 1647442689000}, {'name': '1.1', 'ts': 1629550510000}, {'name': '1.0', 'ts': 1588514318000}, {'name': '1.2.1', 'ts': 1671630437000}, {'name': '1.0.1', 'ts': 1602423878000}]"
com.s24:redjob,com.s24:redjob:0.7.0,0.7.0,1550338074000,0,20,10,https://github.com/adsoul/redjob,adsoul,redjob,https://api.github.com/repos/adsoul/redjob/languages,Java,True,"[{'name': '0.2.10', 'ts': 1494951897000}, {'name': '0.5.10', 'ts': 1539615707000}, {'name': '0.2.5', 'ts': 1494320415000}, {'name': '0.2.1', 'ts': 1480410808000}, {'name': '0.2.3', 'ts': 1481035781000}, {'name': '0.2.4', 'ts': 1491501982000}, {'name': '0.2.0', 'ts': 1480024838000}, {'name': '0.2.6', 'ts': 1494330005000}, {'name': '0.2.2', 'ts': 1480427198000}, {'name': '0.2.9', 'ts': 1494603439000}, {'name': '0.2.8', 'ts': 1494336937000}, {'name': '0.2.7', 'ts': 1494336026000}, {'name': '0.3.1', 'ts': 1497271413000}, {'name': '0.3.2', 'ts': 1503661325000}, {'name': '0.3.0', 'ts': 1495195117000}, {'name': '0.3.3', 'ts': 1503920635000}, {'name': '0.0.3', 'ts': 1466495814000}, {'name': '0.0.7', 'ts': 1470736387000}, {'name': '0.0.2', 'ts': 1466495383000}, {'name': '0.0.5', 'ts': 1469631912000}, {'name': '0.0.8', 'ts': 1470833259000}, {'name': '0.0.6', 'ts': 1470670055000}, {'name': '0.0.9', 'ts': 1472218784000}, {'name': '0.1.2', 'ts': 1479405679000}, {'name': '0.1.1', 'ts': 1479139673000}, {'name': '0.1.0', 'ts': 1478617025000}, {'name': '0.6.2', 'ts': 1549543478000}, {'name': '0.6.0', 'ts': 1539616114000}, {'name': '0.6.1', 'ts': 1546814122000}, {'name': '0.7.0', 'ts': 1550338074000}, {'name': '0.4.0', 'ts': 1507147964000}, {'name': '0.4.3', 'ts': 1511215584000}, {'name': '0.4.2', 'ts': 1509962524000}, {'name': '0.4.1', 'ts': 1509896008000}, {'name': '0.4.7', 'ts': 1519426875000}, {'name': '0.4.6', 'ts': 1519425471000}, {'name': '0.4.8', 'ts': 1519427801000}, {'name': '0.4.9', 'ts': 1520864523000}, {'name': '0.4.5', 'ts': 1518770093000}, {'name': '0.5.2', 'ts': 1527800757000}, {'name': '0.5.1', 'ts': 1527603219000}, {'name': '0.5.3', 'ts': 1527847983000}, {'name': '0.5.0', 'ts': 1527514888000}, {'name': '0.5.9', 'ts': 1538896529000}, {'name': '0.5.5', 'ts': 1527926020000}, {'name': '0.5.8', 'ts': 1535387174000}, {'name': '0.5.4', 'ts': 1527891183000}, {'name': '0.5.7', 'ts': 1535383468000}, {'name': '0.5.6', 'ts': 1528205633000}, {'name': '0.0.10', 'ts': 1472219940000}, {'name': '0.2.11', 'ts': 1495035799000}, {'name': '0.2.12', 'ts': 1495093976000}]"
org.sourcelab:kafka-webview-ui,org.sourcelab:kafka-webview-ui:1.0.0,1.0.0,1515213557000,0,17,14,https://github.com/Crim/kafka-webview,Crim,kafka-webview,https://api.github.com/repos/Crim/kafka-webview/languages,Java,True,"[{'name': '1.0.0', 'ts': 1515213557000}]"
io.github.hiskrtapps:apocalypse-dao-springjdbc,io.github.hiskrtapps:apocalypse-dao-springjdbc:0.0.2,0.0.2,1588416267000,0,10,6,https://github.com/hiskrtapps/apocalypse-dao-springjdbc,hiskrtapps,apocalypse-dao-springjdbc,https://api.github.com/repos/hiskrtapps/apocalypse-dao-springjdbc/languages,Java,True,"[{'name': '0.0.2', 'ts': 1588416267000}]"
