,artifact_id,repo_path
0,org.terrakube.terraform:terraform-spring-boot-autoconfigure,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.terrakube.terraform:terraform-spring-boot-autoconfigure
1,nl.axians:axians-opentelemetry-spring-boot-starter,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.axians:axians-opentelemetry-spring-boot-starter
2,com.geetask:chunked-uploader,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.geetask:chunked-uploader
3,net.distilledcode:filevault-oak-reindex-hook,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.distilledcode:filevault-oak-reindex-hook
4,org.java-websocket:Java-WebSocket,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.java-websocket:Java-WebSocket
5,com.github.doobo:openpdf-ivs,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.doobo:openpdf-ivs
6,com.github.robtimus:obfuscation-json,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.robtimus:obfuscation-json
7,com.s24:redjob,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.s24:redjob
8,org.sourcelab:kafka-webview-ui,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sourcelab:kafka-webview-ui
9,io.github.hiskrtapps:apocalypse-dao-springjdbc,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.hiskrtapps:apocalypse-dao-springjdbc
10,net.cactusthorn.config:jasypt,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/net.cactusthorn.config:jasypt
11,nl.hsac:hsac-fitnesse-email,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/nl.hsac:hsac-fitnesse-email
12,cz.alry:plantuml-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/cz.alry:plantuml-maven-plugin
13,com.charlyghislain.authenticator:authenticator-application-api,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.charlyghislain.authenticator:authenticator-application-api
14,media.pepperpot.tca:tomcat-jwt-authenticator,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/media.pepperpot.tca:tomcat-jwt-authenticator
15,rocks.coffeenet:frontpage-plugin-api,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/rocks.coffeenet:frontpage-plugin-api
16,ch.rasc:wampspring,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ch.rasc:wampspring
17,com.github.bartlomiej-gora:RPNLibrary,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.bartlomiej-gora:RPNLibrary
18,be.idamediafoundry.sofa:mapper-api,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/be.idamediafoundry.sofa:mapper-api
19,se.sawano.eureka:legacy-registrar,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/se.sawano.eureka:legacy-registrar
20,io.split.integrations.azure:azure-spring-cloud-feature-management,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.split.integrations.azure:azure-spring-cloud-feature-management
21,io.probedock.rt.client:probedock-rt-itf,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.probedock.rt.client:probedock-rt-itf
22,org.ibboost.orqa:orqa-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.ibboost.orqa:orqa-maven-plugin
23,com.github.usc:wechat-mp-sdk,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.usc:wechat-mp-sdk
24,org.jmdware:s3-bucket-recursor,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jmdware:s3-bucket-recursor
25,sh.joinery:joinery-dataframe,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/sh.joinery:joinery-dataframe
26,org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime
27,org.slieb:html-exception-formatter,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.slieb:html-exception-formatter
28,org.sentrysoftware.maven:maven-skin-tools,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.sentrysoftware.maven:maven-skin-tools
29,com.qualizeal.community:layouts,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.qualizeal.community:layouts
30,de.jpdigital:hibernate6-ddl-maven-plugin-core,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.jpdigital:hibernate6-ddl-maven-plugin-core
31,com.datadoghq:java-dogstatsd-client,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.datadoghq:java-dogstatsd-client
32,com.squareup.pagerduty:pagerduty-incidents,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.squareup.pagerduty:pagerduty-incidents
33,de.enlightened:sql-enum-generator-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.enlightened:sql-enum-generator-maven-plugin
34,com.qdesrame:openapi-diff,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.qdesrame:openapi-diff
35,ru.r2cloud:rotctrldClient,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ru.r2cloud:rotctrldClient
36,uk.co.rgordon:oj-ant,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/uk.co.rgordon:oj-ant
37,org.eclipse.esmf:esmf-aspect-meta-model-interface,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.esmf:esmf-aspect-meta-model-interface
38,me.kingjan1999.fhdw:alphacamunda,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/me.kingjan1999.fhdw:alphacamunda
39,at.makubi.maven.plugin:avrohugger-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/at.makubi.maven.plugin:avrohugger-maven-plugin
40,org.antframework.sync:sync,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.antframework.sync:sync
41,de.flapdoodle.reverse:de.flapdoodle.reverse,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/de.flapdoodle.reverse:de.flapdoodle.reverse
42,com.carrotgarden.maven:carrot-maven-imgscalr-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.carrotgarden.maven:carrot-maven-imgscalr-plugin
43,com.spotify:confidence-openfeature-provider,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.spotify:confidence-openfeature-provider
44,com.microsoft.azure.network.v2019_07_01:azure-mgmt-network,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.microsoft.azure.network.v2019_07_01:azure-mgmt-network
45,org.reaktivity:nukleus-auth-jwt.spec,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.reaktivity:nukleus-auth-jwt.spec
46,ru.greatbit:transitive-dependency-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/ru.greatbit:transitive-dependency-maven-plugin
47,org.reaktivity:nukleus-http2.spec,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.reaktivity:nukleus-http2.spec
48,com.github.tcl-ec:tclsms,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.tcl-ec:tclsms
49,com.github.hazendaz.maven:smartsprites-maven-plugin,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.github.hazendaz.maven:smartsprites-maven-plugin
50,com.lahsivjar:gcp-storage-wagon,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.lahsivjar:gcp-storage-wagon
51,org.eclipse.digitaltwin.basyx:basyx.aasregistry-service-release-kafka-mongodb,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.eclipse.digitaltwin.basyx:basyx.aasregistry-service-release-kafka-mongodb
52,com.contrastsecurity:cassandra-migration,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.contrastsecurity:cassandra-migration
53,org.parttio:canvas-java,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.parttio:canvas-java
54,org.liurb.ai.sdk:java-ai-sdk,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.liurb.ai.sdk:java-ai-sdk
55,me.shakiba.jsonrpc:jsonrpc,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/me.shakiba.jsonrpc:jsonrpc
56,com.omertron:themoviedbapi,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.omertron:themoviedbapi
57,com.wandrell.tabletop:stats,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.wandrell.tabletop:stats
58,io.github.ci-cmg.cruise-pack:cruise-pack,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/io.github.ci-cmg.cruise-pack:cruise-pack
59,com.plugatar.xteps2:xteps2-selenide,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/com.plugatar.xteps2:xteps2-selenide
60,org.jodah:concurrentunit,/Users/nabhansuwanachote/Desktop/research/msr-2025-challenge/repo/org.jodah:concurrentunit
