,duration_day,version_different
0,699.124375,4
7,372.967349537037,34
22,16.622118055555557,1
32,140.19010416666666,1
38,693.1788194444445,28
39,374.20369212962964,20
40,160.83620370370372,10
41,1102.9038194444445,41
45,147.09532407407409,8
48,493.65555555555557,19
49,495.5783333333333,16
50,29.032881944444444,2
57,58.912835648148146,3
58,58.912835648148146,3
60,59.16386574074074,1
72,3.959201388888889,1
78,248.8135763888889,3
80,451.8225115740741,1
84,54.19089120370371,2
107,566.7197453703703,2
113,255.98072916666666,3
117,297.9600925925926,4
142,13.118819444444444,1
147,275.20542824074073,12
165,341.092337962963,3
177,529.2958680555555,4
188,1603.2958680555555,2
244,392.0338888888889,5
255,80.99219907407408,2
289,567.9993518518519,4
290,278.0290277777778,1
299,279.07699074074077,1
301,279.07699074074077,1
305,298.1907638888889,3
307,313.13447916666667,14
313,73.16631944444444,2
334,102.5237962962963,1
336,282.21201388888886,1
374,8.310555555555556,1
394,6.232037037037037,1
401,74.03694444444444,1
413,9.586724537037037,3
437,38.883668981481485,26
439,1936.0311111111112,37
453,33.091828703703705,1
454,33.091828703703705,1
479,138.5571875,5
481,94.61974537037037,1
498,324.7048032407407,2
507,11.372280092592593,1
509,275.7374537037037,1
512,966.2729398148148,2
518,48.317962962962966,3
